tipo_elem;distrito;id;cod_cent;nombre;x;y;longitud;latitud
URB;0.0;3717;23003;Isaac Peral S-N - Donoso Cortes-Cea Bermudez;439109,437862959;4476535,29235978;-3.717937931262364;40.43723481693331
M30;0.0;6870;13XC97PM01;13XC97PM01;440425,967306403;4471751,02248177;-3.7019682819075355;40.39423119082257
M30;0.0;1019;13XL49PM01;13XL49PM01;440866,291143702;4470983,1387667;-3.6967089623027585;40.38734506997061
URB;0.0;6378;59025;C/, Salvador de Madariaga - Verdaguer y Garcia-Esteban Mora;444268,020157978;4476677,95999603;-3.657131488647216;40.4388817506043
URB;0.0;3903;02060;(TACTICO) Dr, Esquerdo N-S - Cavanilles-Valderribas (Giro Izq,);442902,240290888;4472750,81704421;-3.6728816594076754;40.4034113392054
URB;0.0;4475;23014;Guzman el Bueno N-S - Melquiades Alvarez-Cea Bermudez;439552,169801312;4476864,64052001;-3.712749560683387;40.44023402170203
URB;0.0;3943;05015;Hermanos Becquer S-N - Serrano-General Oraa;441717,489473088;4476379,53863383;-3.687175223472574;40.436018583485414
URB;0.0;3876;02024;Alcalde Sainz Baranda O-E - Lozoya-Esplandiu;443403,869172179;4474306,86980563;-3.667108886863358;40.41746336763263
URB;0.0;3945;05017;Ayala E-O - Serrano-Pº Castellana;441671,385099568;4475477,56936693;-3.6876360034067672;40.427889980782965
URB;0.0;3671;15003;(AFOROS) Alcala E-O - Pl, Independencia-Pl, Cibeles;441426,83144164;4474583,6940147;-3.690436507825953;40.41982033473741
URB;0.0;4301;16026;(AFOROS) Gran Via, 44 S-N - Jimenez de Quesada-Mesonero Romanos;440303,135088687;4474634,43954242;-3.7036860057652583;40.42019761941178
URB;0.0;3730;16028;(AFOROS) Gran Via N-S - Salud-Tres Cruces;440362,012285156;4474620,42335407;-3.7029907168929803;40.420075576834314
URB;0.0;3897;02053;(TACTICO) Comercio N-S - Av Ciudad Barcelona -Tellez( Giro Izqd,);442172,151510438;4472758,24133354;-3.6814856600010457;40.40342783401522
URB;0.0;6425;65007;C/, Fuente Carrantona  - Arroyo Fontarron-Miguel Hernandez;445694,21758268;4471826,79968012;-3.639902136211388;40.39527400593211
URB;0.0;3904;02061;(TACTICO) Valderribas E-O - Sanchez Barcaiztegui-Dr,Esquerdo;442861,974027871;4472744,91731855;-3.6733556258006113;40.40335542893077
URB;0.0;3433;02064;Dr, Esquerdo S-N - Valderribas-Garibay;442931,509753;4472772,43894067;-3.672538687814234;40.40360812785138
URB;0.0;3888;02300;(MICRO) Pl, Conde Casa - Antes de Grupo16;443101,915662666;4473122,0615621;-3.6705618805923512;40.406769383949765
URB;0.0;3915;04009;Principe Vergara N-S - Concha Espina-Pl, CataluÑa;442533,724640823;4478023,75062929;-3.677700853945501;40.45088723388614
URB;0.0;3917;04011;Ramon y Cajal E-O - Principe Vergara-Rodriguez Marin;442489,997368006;4478113,94188072;-3.6782246647869163;40.451696694465895
URB;0.0;4377;17046;Ferraz, 13 S-N - Rey Francisco-Quintana;439124,123438562;4475343,02674271;-3.7176506015180566;40.426495462334195
URB;0.0;7063;17307;(MICRO) Princesa S-N(Delante G,2) - (MICRO) Princesa S-N(Delante G,2);439354,553388187;4475605,50434584;-3.714959359434608;40.428876803485146
URB;0.0;7065;17308;(MICRO) Princesa N-S(Delante G, 1 Frente G, 2) - (MICRO) Princesa N-S(Delante G, 1 Frente G, 2);439351,646081018;4475597,6226602;-3.71499287969756;40.428805589913814
URB;0.0;5567;61056;Fray Bernardino Sahagun O-E - Manuel Benedito-Menendez Pidal;442175,663125751;4479139,13382362;-3.682024792064327;40.46091027776006
URB;0.0;6430;65014;C/, Fuente Carrantona  - Hacienda de Pavones-Luis de Hoyos Sainz;446120,212892053;4472643,37652269;-3.634951899279434;40.402657909122276
URB;0.0;9890;06017;Velazquez S-N - (Hermosilla -Ayala;441977,616507621;4475347,82782993;-3.684014244913077;40.42674262028716
URB;0.0;3981;06041;Velazquez S-N (Lateral) - General Oraa-Maria Molina;442060,716713559;4476401,77516302;-3.6831307312414587;40.43624288331606
URB;0.0;4379;18001;Guzman el Bueno, 54 N-S - Donoso Cortes-Fernandez de los Rios;439519,685004772;4476420,98710038;-3.7130903370051564;40.436235043569425
URB;0.0;4380;18002;Guzman el Bueno,15 N-S - Rguez San Pedro-Alberto Aguilera;439486,419044068;4475913,09141516;-3.7134341691716637;40.431657283333614
M30;0.0;6737;PM20721;PM20721;444088,825090821;4474829,8782982;-3.659081674951935;40.42222121638257
URB;0.0;3563;02026;(TACTICO) Alcalde Sainz Baranda E-O - Giro Izq, a Esplandiu;443513,861447484;4474419,96169488;-3.665822514404267;40.4184896335915
URB;0.0;3954;06006;Principe Vergara S-N - Francisco Silvela-Lopez Hoyos;442430,365872894;4476844,20093067;-3.678812774163481;40.440254139678736
URB;0.0;4390;18015;San Bernardo N-S - Esquina Sta Cruz de Marcenado;440106,805049834;4475589,86248517;-3.7060901065173497;40.42879039566105
URB;0.0;4626;34007;(TACTICO) GIRO IZQUIERDA EUGENIO SALAZAR;442889,700892275;4477326,11273041;-3.673440360985414;40.44462711085185
URB;0.0;3620;18019;San Bernardo S-N - Travesia Pozas-Espiritu Santo;440002,118919908;4475236,71945004;-3.7072908513701535;40.42560158122028
URB;0.0;5422;43011;Av,Betanzos S-N - Av,Monforte de Lemos-Av,Ilustracion;439615,436980004;4481127,79334915;-3.712409195215102;40.478642753074695
M30;0.0;6750;PM20912;PM20912;443639,531939685;4473183,80225213;-3.6642317761865426;40.407362148534126
URB;0.0;3854;01020;Fernado VI E-O - Campoamor-Hortaleza;440920,452508756;4475212,93663489;-3.696463540312697;40.425453054150736
URB;0.0;3858;02003;(MICRO)(AFOROS) Dr, Esquerdo S-N  - Ibiza-Alcalde Sainz Barand;443211,558503098;4474314,90242606;-3.669376258564709;40.41752262891816
URB;0.0;3865;02010;Dr Esquerdo N-S - Samaria-Nazaret(Giro a Astros);443173,21102953;4473762,83535376;-3.6697789218773327;40.41254669405583
URB;0.0;3729;12005;Palos de la Frontera E-O - Pº Delicias -Batalla del Salado;441105,970411249;4472724,24557759;-3.6940463071889407;40.403046850236144
URB;0.0;4119;12012;Pº Delicias S-N - Alejandro Ferrant-Juan Vera;441049,383612482;4471853,83997792;-3.694632521810032;40.395201782834185
URB;0.0;4122;12015;Pº Delicias S-N - Pl, Legazpi-Pl, Beata Mª Ana Jesus;441021,682267301;4471548,15663425;-3.694930601627513;40.39244606591193
URB;0.0;4125;12018;Embajadores S-N - Pl, Beata Mª Ana Jesus-Divino Valles;440990,530087207;4471850,0247791;-3.6953256083891235;40.395163245710805
URB;0.0;4145;12039;Ancora E-O - Mendez Alvaro-General Lacy;441499,932919255;4472691,34165719;-3.689400887036001;40.402778207619185
URB;0.0;3725;02028;(TACTICO) Alcalde Sainz Baranda O-E - Giro Izq, a Vaquerias;443475,853984039;4474357,72576456;-3.6662649625736945;40.417926398010096
URB;0.0;3726;02031;Astros E-O - Cruz del Sur-Dr, Esquerdo(Giro Derecha);443250,299468136;4473638,73178852;-3.6688593217637315;40.411433961080064
URB;0.0;3885;02041;Dr, Esquerdo N-S - Av, Nazaret-Arias Montano;443159,250012184;4473598,15167834;-3.6699287477712663;40.41106218084106
URB;0.0;4150;12044;General Lacy N-S - Bustamante-Ramirez Prado;441360,13307268;4472455,20241521;-3.691026508421937;40.400641108778665
URB;0.0;4174;13031;Sta, Maria Cabeza, 11 N-S(Tunel) - Ronda Atocha-Murcia;441080,470241217;4473093,82211949;-3.694381009739427;40.40637437938315
URB;0.0;4175;13032;Sta Maria Cabeza, 11 N-S(Lateral Izqda)(Superficie) - ;441084,221113287;4473091,69138872;-3.694336610622596;40.40635545013167
